조사서번호,시도,시군구,읍면동,주소,위도,경도
'170101192708682,광주광역시,북구,신용동,광주광역시 북구 신용동,35.2136349,126.8630543
'170101194942936,광주광역시,북구,용봉동,광주광역시 북구 용봉동,35.2136349,126.8630543
'170101214940902,광주광역시,광산구,장덕동,광주광역시 광산구 장덕동,35.2136349,126.8630543
'170103052714692,광주광역시,광산구,우산동,광주광역시 광산구 우산동,35.2136349,126.8630543
'170103055030627,광주광역시,북구,중흥동,광주광역시 북구 중흥동,35.2136349,126.8630543
'170103172404783,광주광역시,광산구,본덕동,광주광역시 광산구 본덕동,35.2136349,126.8630543
'170104024729300,광주광역시,광산구,도덕동,광주광역시 광산구 도덕동,35.2136349,126.8630543
'170104112758923,광주광역시,북구,양산동,광주광역시 북구 양산동,35.1804047,126.9012071
'170104201743987,광주광역시,광산구,수완동,광주광역시 광산구 수완동,35.1804047,126.9012071
'170105154617352,광주광역시,광산구,장덕동,광주광역시 광산구 장덕동,35.1804047,126.9012071
'170106022518828,광주광역시,동구,학동,광주광역시 동구 학동,35.1804047,126.9012071
'170106165647053,광주광역시,서구,광천동,광주광역시 서구 광천동,35.1804047,126.9012071
'170106173517071,광주광역시,북구,동림동,광주광역시 북구 동림동,35.1804047,126.9012071
'170107014144039,광주광역시,북구,양산동,광주광역시 북구 양산동,35.1804047,126.9012071
'170107131514645,광주광역시,서구,금호동,광주광역시 서구 금호동,35.1804047,126.9012071
'170109042327625,광주광역시,동구,불로동,광주광역시 동구 불로동,35.1804047,126.9012071
'170110164640936,광주광역시,북구,삼각동,광주광역시 북구 삼각동,35.1804047,126.9012071
'170110171917105,광주광역시,광산구,용봉동,광주광역시 광산구 용봉동,35.1804047,126.9012071
'170110170537525,광주광역시,광산구,장덕동,광주광역시 광산구 장덕동,35.1804047,126.9012071
'170110170424529,광주광역시,북구,문흥동,광주광역시 북구 문흥동,35.1804047,126.9012071
'170110172751748,광주광역시,광산구,신촌동,광주광역시 광산구 신촌동,35.1804047,126.9012071
'170111063827863,광주광역시,북구,우산동,광주광역시 북구 우산동,35.1804047,126.9012071
'170111112320339,광주광역시,남구,봉선동,광주광역시 남구 봉선동,35.1804047,126.9012071
'170111212954827,광주광역시,서구,풍암동,광주광역시 서구 풍암동,35.1804047,126.9012071
'170112141007002,광주광역시,광산구,산정동,광주광역시 광산구 산정동,35.1804047,126.9012071
'170113040740384,광주광역시,광산구,오선동,광주광역시 광산구 오선동,35.1804047,126.9012071
'170114064931216,광주광역시,광산구,소촌동,광주광역시 광산구 소촌동,35.1804047,126.9012071
'170114145914850,광주광역시,동구,월남동,광주광역시 동구 월남동,35.1804047,126.9012071
'170114234801374,광주광역시,광산구,도산동,광주광역시 광산구 도산동,35.1804047,126.9012071
'170115145933537,광주광역시,북구,문흥동,광주광역시 북구 문흥동,35.1804047,126.9012071
'170115152751302,광주광역시,북구,두암동,광주광역시 북구 두암동,35.1804047,126.9012071
'170116011657703,광주광역시,광산구,신가동,광주광역시 광산구 신가동,35.1916079,126.8088137
'170116043756194,광주광역시,북구,유동,광주광역시 북구 유동,35.1916079,126.8088137
'170116123553219,광주광역시,광산구,소촌동,광주광역시 광산구 소촌동,35.1916079,126.8088137
'170116173132921,광주광역시,남구,월산동,광주광역시 남구 월산동,35.1916079,126.8088137
'170116200447211,광주광역시,북구,양산동,광주광역시 북구 양산동,35.1916079,126.8088137
'170116234317285,광주광역시,광산구,산막동,광주광역시 광산구 산막동,35.1916079,126.8088137
'170117022319637,광주광역시,북구,우산동,광주광역시 북구 우산동,35.1916079,126.8088137
'170117023903770,광주광역시,북구,각화동,광주광역시 북구 각화동,35.1916079,126.8088137
'170117140544820,광주광역시,광산구,신촌동,광주광역시 광산구 신촌동,35.1916079,126.8088137
'170117161500390,광주광역시,서구,치평동,광주광역시 서구 치평동,35.1916079,126.8088137
'170118212522264,광주광역시,북구,일곡동,광주광역시 북구 일곡동,35.1916079,126.8088137
'170119014458289,광주광역시,북구,일곡동,광주광역시 북구 일곡동,35.1916079,126.8088137
'170203224123820,광주광역시,남구,진월동,광주광역시 남구 진월동,35.1916079,126.8088137
'170119201721106,광주광역시,남구,주월동,광주광역시 남구 주월동,35.1527936,126.8165341
'170119221927416,광주광역시,광산구,용곡동,광주광역시 광산구 용곡동,35.1527936,126.8165341
'170120060504923,광주광역시,광산구,안청동,광주광역시 광산구 안청동,35.1527936,126.8165341
'170121053852745,광주광역시,남구,진월동,광주광역시 남구 진월동,35.1527936,126.8165341
'170121191934132,광주광역시,광산구,신촌동,광주광역시 광산구 신촌동,35.1527936,126.8165341
'170125122336174,광주광역시,광산구,용동,광주광역시 광산구 용동,35.1527936,126.8165341
'170122062256571,광주광역시,서구,풍암동,광주광역시 서구 풍암동,35.1527936,126.8165341
'170123103157504,광주광역시,남구,백운동,광주광역시 남구 백운동,35.1527936,126.8165341
'170123132404204,광주광역시,동구,학동,광주광역시 동구 학동,35.1527936,126.8165341
'170123134744807,광주광역시,동구,금남로5가,광주광역시 동구 금남로5가,35.1527936,126.8165341
'170123200421785,광주광역시,남구,봉선동,광주광역시 남구 봉선동,35.1527936,126.8165341
'170124004256484,광주광역시,북구,용봉동,광주광역시 북구 용봉동,35.1527936,126.8165341
'170124123144502,광주광역시,광산구,비아동,광주광역시 광산구 비아동,35.1527936,126.8165341
'170125190339454,광주광역시,서구,광천동,광주광역시 서구 광천동,35.1527936,126.8165341
'170126031352697,광주광역시,북구,풍향동,광주광역시 북구 풍향동,35.1527936,126.8165341
'170126151120922,광주광역시,남구,양림동,광주광역시 남구 양림동,35.1527936,126.8165341
'170126194523526,광주광역시,서구,마륵동,광주광역시 서구 마륵동,35.1662717,126.9130029
'170126201742267,광주광역시,광산구,운남동,광주광역시 광산구 운남동,35.1662717,126.9130029
'170127002011806,광주광역시,북구,용봉동,광주광역시 북구 용봉동,35.1662717,126.9130029
'170128101831346,광주광역시,광산구,월계동,광주광역시 광산구 월계동,35.1662717,126.9130029
'170129051958162,광주광역시,광산구,산월동,광주광역시 광산구 산월동,35.1662717,126.9130029
